epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,8753.6,1.35969,1.26068,0.01688,0.72946,0.71691,0.74966,0.40828,1.63003,1.10501,0.02515,0.00749114,0.00249705,0.00749114,0.00249705,0.00749114,0.00249705,0.00749114,0.00249705
110,8833.69,1.35152,1.27181,0.01668,0.72958,0.71846,0.75075,0.41004,1.63047,1.1026,0.02517,0.00746481,0.00248827,0.00746481,0.00248827,0.00746481,0.00248827,0.00746481,0.00248827
111,8913.84,1.35023,1.26151,0.01674,0.7337,0.71526,0.74998,0.41009,1.62967,1.10685,0.02512,0.00743829,0.00247943,0.00743829,0.00247943,0.00743829,0.00247943,0.00743829,0.00247943
112,8993.87,1.35528,1.25908,0.01688,0.73134,0.71515,0.74993,0.40939,1.63115,1.10776,0.02512,0.0074116,0.00247053,0.0074116,0.00247053,0.0074116,0.00247053,0.0074116,0.00247053
113,9073.74,1.34426,1.24962,0.0167,0.73657,0.71357,0.74956,0.40902,1.63106,1.11061,0.02512,0.00738472,0.00246157,0.00738472,0.00246157,0.00738472,0.00246157,0.00738472,0.00246157
114,9154.02,1.35219,1.26465,0.01691,0.73357,0.71446,0.75043,0.40958,1.63149,1.10905,0.02508,0.00735768,0.00245256,0.00735768,0.00245256,0.00735768,0.00245256,0.00735768,0.00245256
115,9233.95,1.34536,1.22955,0.01696,0.73447,0.71099,0.74876,0.40877,1.63072,1.10972,0.02505,0.00733046,0.00244349,0.00733046,0.00244349,0.00733046,0.00244349,0.00733046,0.00244349
116,9313.83,1.34833,1.23801,0.01682,0.7305,0.71566,0.74815,0.40896,1.63269,1.10607,0.02509,0.00730306,0.00243435,0.00730306,0.00243435,0.00730306,0.00243435,0.00730306,0.00243435
117,9393.76,1.34177,1.2309,0.01677,0.73137,0.71995,0.74728,0.40857,1.63384,1.10711,0.02512,0.0072755,0.00242517,0.0072755,0.00242517,0.0072755,0.00242517,0.0072755,0.00242517
118,9473.74,1.35173,1.23411,0.0168,0.73208,0.71966,0.74751,0.40835,1.63413,1.10776,0.02514,0.00724777,0.00241592,0.00724777,0.00241592,0.00724777,0.00241592,0.00724777,0.00241592
119,9554.29,1.35164,1.22565,0.01683,0.72861,0.7197,0.74652,0.40856,1.63389,1.10887,0.02513,0.00721987,0.00240662,0.00721987,0.00240662,0.00721987,0.00240662,0.00721987,0.00240662
120,9634.41,1.33709,1.22054,0.01683,0.71961,0.72789,0.74673,0.40888,1.63428,1.1056,0.02514,0.00719181,0.00239727,0.00719181,0.00239727,0.00719181,0.00239727,0.00719181,0.00239727
121,9714.34,1.33468,1.22537,0.01655,0.72326,0.72781,0.74765,0.41002,1.63617,1.10455,0.02516,0.00716358,0.00238786,0.00716358,0.00238786,0.00716358,0.00238786,0.00716358,0.00238786
122,9794.12,1.33658,1.22656,0.01667,0.72069,0.73009,0.74801,0.40986,1.63454,1.10568,0.02513,0.0071352,0.0023784,0.0071352,0.0023784,0.0071352,0.0023784,0.0071352,0.0023784
123,9874.34,1.3381,1.21994,0.01671,0.71656,0.73206,0.74765,0.40943,1.6347,1.1066,0.02513,0.00710665,0.00236888,0.00710665,0.00236888,0.00710665,0.00236888,0.00710665,0.00236888
124,9954.36,1.32376,1.2096,0.01642,0.73618,0.71574,0.74745,0.40913,1.63548,1.10632,0.02513,0.00707794,0.00235931,0.00707794,0.00235931,0.00707794,0.00235931,0.00707794,0.00235931
125,10034.4,1.32789,1.20257,0.01649,0.7149,0.7306,0.74654,0.40839,1.63427,1.10909,0.02511,0.00704908,0.00234969,0.00704908,0.00234969,0.00704908,0.00234969,0.00704908,0.00234969
126,10114.6,1.32188,1.19403,0.01642,0.72155,0.72675,0.74628,0.40782,1.63462,1.10799,0.02511,0.00702007,0.00234002,0.00702007,0.00234002,0.00702007,0.00234002,0.00702007,0.00234002
